@relation 'Affect_Clip_Labels_full-weka.filters.unsupervised.attribute.Remove-V-R4,106,157,55,26,176,23,77,74,147,205-weka.filters.unsupervised.attribute.Remove-V-R1,2,3,5,6,7,10,11-weka.filters.supervised.instance.SMOTE-C0-K5-P1100.0-S1'

@attribute averagecorrect numeric
@attribute mincorrect numeric
@attribute sumcorrect numeric
@attribute averagepercentcorrectperskill numeric
@attribute sumhinttotal numeric
@attribute averagehinttotal numeric
@attribute mintotalfrattempted numeric
@attribute class {no,yes}

@data
1,1,1,0.846154,0,0,14,no
1,1,2,1,0,0,10,no
1,1,3,0.878788,0,0,8,no
1,1,2,1,0,0,11,no
0.5,0,1,0.330357,0,0,2,no
0,0,0,0,16,4,8,no
0,0,0,0,0,0,4,no
1,1,1,0.3,0,0,4,no
0,0,0,0,9,3,13,no
0,0,0,0,1,1,13,no
0,0,0,0.291667,0,0,14,yes
0,0,0,0,25,5,2,no
1,1,1,0.428571,0,0,7,no
0.5,0,1,0.196429,4,2,9,no
1,1,1,1,0,0,17,no
0,0,0,0,3,3,9,no
0.2,0,1,0.128997,15,3,12,no
0,0,0,0.2,2,2,13,no
1,1,1,1,0,0,16,no
1,1,1,1,0,0,5,no
1,1,1,0.2,3,3,10,no
1,1,1,1,0,0,9,no
1,1,1,1,0,0,3,no
1,1,1,1,0,0,6,no
0,0,0,0,0,0,24,no
1,1,1,0.181818,3,3,9,no
0,0,0,0,0,0,4,no
1,1,1,1,0,0,7,no
0.333333,0,2,0.324206,18,3,19,no
0.25,0,1,0.19074,0,0,21,no
1,1,1,1,0,0,2,no
1,1,1,0.2,3,3,9,no
0,0,0,0.320833,12,3,10,no
1,1,1,1,0,0,10,no
1,1,1,0.75,0,0,15,no
1,1,1,1,0,0,2,no
0,0,0,0.5,0,0,3,no
1,1,1,0.75,0,0,4,no
1,1,1,0.625,0,0,15,no
0,0,0,0,5,5,26,no
0,0,0,0,25,5,27,no
1,1,1,0.285714,0,0,9,no
1,1,1,0.25,3,3,35,no
1,1,1,0.5,0,0,9,no
1,1,1,1,0,0,11,no
1,1,1,0.363636,3,3,18,no
1,1,1,1,0,0,17,no
1,1,1,0.4,2,2,4,no
1,1,1,1,0,0,4,no
1,1,1,1,0,0,4,yes
1,1,1,1,0,0,1,no
0,0,0,0,2,2,1,no
0.333333,0,2,0.111111,6,1,18,no
0,0,0,0.519231,0,0,8,no
1,1,2,0.5,0,0,13,no
0.5,0,2,0.266667,0,0,11,no
1,1,1,1,0,0,16,no
1,1,2,0.666667,0,0,14,no
1,1,1,0.6875,0,0,20,no
1,1,1,1,0,0,8,no
0,0,0,0,0,0,5,no
1,1,1,1,0,0,5,no
1,1,1,0.857143,0,0,6,no
1,1,3,0.455556,3,1,9,no
1,1,2,0.5,0,0,10,no
1,1,1,1,0,0,5,no
1,1,1,1,0,0,20,no
1,1,1,1,0,0,1,no
1,1,1,1,0,0,2,no
1,1,1,1,0,0,3,yes
0.5,0,1,0.184066,2,1,3,no
1,1,1,0.451613,1,1,14,no
0,0,0,0.494444,2,1,22,no
1,1,1,0.444444,0,0,11,no
1,1,1,0.482759,0,0,13,no
0.166667,0,1,0.436652,12,2,30,no
0.2,0,2,0.033333,40,4,42,no
1,1,2,1,0,0,0,no
1,1,1,1,0,0,2,no
1,1,2,0.353693,1,0.5,11,no
1,1,1,0.410256,0,0,15,no
0,0,0,0.363636,0,0,4,yes
0,0,0,0.444444,1,1,9,no
1,1,2,0.508621,0,0,14,no
1,1,1,0.4,0,0,2,no
0,0,0,0,2,2,2,no
0,0,0,0.590278,0,0,6,no
0,0,0,0,0,0,17,no
0.25,0,1,0.166425,8,2,23,no
0.333333,0,1,0.188022,0,0,9,no
0,0,0,0.583333,0,0,2,no
0.333333,0,1,0.274242,6,2,4,no
0,0,0,0.5,0,0,14,no
0,0,0,0.25,0,0,18,no
0,0,0,0.25,1,1,2,no
0,0,0,0.25,1,1,2,no
1,1,1,1,0,0,1,no
0,0,0,0.6,1,1,5,no
0,0,0,0.4,0,0,3,no
0,0,0,0.333333,0,0,4,no
1,1,2,0.4,0,0,6,no
0,0,0,0.583333,0,0,2,no
1,1,1,1,0,0,29,no
0,0,0,0.666667,4,4,31,yes
0,0,0,0.125,3,3,13,no
1,1,1,0.26087,0,0,15,no
1,1,1,0.25,1,1,22,no
1,1,1,0.5,0,0,23,no
0,0,0,0.1875,3,3,29,no
0.333333,0,1,0.259138,0,0,34,no
1,1,1,1,0,0,11,no
1,1,1,1,0,0,24,no
1,1,2,0.775,0,0,21,no
0,0,0,0,0,0,23,no
1,1,2,0.2,0,0,39,no
1,1,1,1,0,0,12,no
1,1,1,1,0,0,18,no
0.333333,0,1,0.588889,3,1,21,no
1,1,1,1,0,0,63,no
1,1,1,0.428571,0,0,10,no
0.25,0,1,0.05,12,3,36,no
0,0,0,0.181985,4,2,39,no
0.5,0,1,0.254615,0,0,41,no
1,1,2,0.6125,0,0,49,no
1,1,1,1,0,0,16,no
1,1,2,1,0,0,19,no
1,1,1,0.142857,0,0,25,no
1,1,1,0.4,0,0,27,no
0,0,0,0,0,0,33,no
0.5,0,1,0.25,0,0,8,no
1,1,1,0.6,0,0,13,no
0.166667,0,1,0.181557,18,3,16,no
1,1,1,1,0,0,31,no
0,0,0,0,1,1,42,no
0,0,0,0.5,1,1,50,no
1,1,4,0.705556,0,0,65,no
1,1,1,0.533333,0,0,10,no
0,0,0,0.454545,4,4,18,no
0,0,0,0.388889,4,4,20,no
1,1,2,0.645833,0,0,38,no
1,1,1,1,0,0,10,no
0,0,0,0.4,0,0,18,no
1,1,1,0.6,0,0,25,no
1,1,1,0.666667,0,0,13,no
1,1,1,1,0,0,12,no
1,1,1,1,0,0,12,no
1,1,2,1,0,0,18,no
0,0,0,0.5,1,1,7,no
0,0,0,0.125,0,0,10,no
0,0,0,0.166667,0,0,7,no
0,0,0,0.5,0,0,11,no
1,1,1,1,0,0,12,no
0,0,0,0.5,0,0,14,yes
0,0,0,0,0,0,9,no
1,1,1,1,0,0,16,no
1,1,1,1,0,0,19,no
0.5,0,1,0.435526,0,0,24,no
0.25,0,1,0.379171,4,1,40,yes
0.5,0,1,0.125,2,1,16,no
0.5,0,1,0.188596,0,0,7,no
0,0,0,0.102041,0,0,9,no
0,0,0,0.363636,0,0,15,no
0.5,0,2,0.234848,0,0,22,no
0.111111,0,3,0.124093,81,3,28,no
1,1,3,0.916667,0,0,25,no
0,0,0,0.444444,2,2,12,no
0,0,0,0.2,4,4,44,no
1,1,1,1,0,0,39,no
0,0,0,0,0,0,52,no
1,1,1,1,0,0,5,no
1,1,1,1,0,0,11,no
0.666667,0,2,0.621032,0,0,18,no
0,0,0,0,0,0,27,no
1,1,1,1,0,0,18,no
1,1,1,1,0,0,24,no
0.166667,0,1,0.411905,0,0,25,no
0,0,0,0.272727,0,0,31,yes
1,1,1,1,0,0,8,no
1,1,1,1,0,0,13,no
1,1,4,0.954545,0,0,28,no
0.2,0,1,0.05,0,0,7,no
0.8,0,4,0.7,0,0,16,no
1,1,1,0.333333,0,0,32,no
1,1,1,0.666667,0,0,37,no
1,1,1,1,0,0,18,no
1,1,1,0.5,0,0,25,no
1,1,2,1,0,0,28,no
1,1,3,0.916667,0,0,40,no
1,1,3,1,0,0,4,no
1,1,3,1,0,0,11,no
0,0,0,0.266667,0,0,17,no
0,0,0,0.333333,0,0,31,no
1,1,2,0.75,0,0,48,no
1,1,1,1,0,0,0,no
0.4,0,2,0.4,0,0,2,no
1,1,2,1,0,0,12,no
1,1,1,1,0,0,16,no
1,1,1,1,0,0,2,no
1,1,1,1,0,0,9,no
1,1,2,0.479167,0,0,18,no
1,1,1,1,0,0,10,no
1,1,1,0.333333,0,0,34,no
0.333333,0,2,0.472222,0,0,18,no
1,1,2,1,0,0,26,no
0,0,0,0.6875,0,0,42,no
0.333333,0,1,0.369444,0,0,46,no
1,1,2,0.825,0,0,51,no
1,1,1,0.5,0,0,3,no
0.5,0,1,0.45,0,0,22,no
0,0,0,0,0,0,1,no
1,1,1,1,0,0,5,no
1,1,1,0.5,0,0,14,no
0,0,0,0.425926,0,0,54,no
0.5,0,1,0.875,0,0,64,no
1,1,1,0.8,0,0,67,no
1,1,2,0.888889,0,0,73,no
1,1,1,1,0,0,83,no
0.5,0,2,0.728205,0,0,91,no
1,1,1,0.772727,0,0,77,no
0,0,0,0,0,0,80,no
1,1,1,0.2,0,0,90,no
0.5,0,1,0.745968,0,0,111,no
1,1,1,0.5,0,0,118,no
