@relation 'Affect_Clip_Labels_full-weka.filters.unsupervised.attribute.Remove-V-R4,106,157,55,26,176,23,77,74,147,205-weka.filters.unsupervised.attribute.Remove-V-R1,2,3,5,6,7,10,11-weka.filters.supervised.instance.SMOTE-C0-K5-P560.0-S1-weka.filters.unsupervised.instance.Randomize-S42'

@attribute averagecorrect numeric
@attribute mincorrect numeric
@attribute sumcorrect numeric
@attribute averagepercentcorrectperskill numeric
@attribute sumhinttotal numeric
@attribute averagehinttotal numeric
@attribute mintotalfrattempted numeric
@attribute class {no,yes}

@data
1,1,2,0.666667,0,0,14,no
1,1,2,0.291667,0,0,278,no
0.333333,0,1,0.259138,0,0,34,no
0,0,0,0.305556,3,3,65,no
1,1,4,0.453252,0,0,183,no
1,1,2,0.941176,0,0,98,no
1,1,2,1,0,0,41,no
1,1,1,0.538462,0,0,26,no
1,1,1,0.666667,2,2,17,no
1,1,1,0.8,0,0,84,no
0,0,0,0,0,0,1,no
1,1,1,1,0,0,89,no
0.582365,0.139503,0.062326,0.469856,0.18836,1.641672,40.150815,yes
1,1,1,1,2,2,3,no
1,1,2,0.654762,0,0,21,no
1,1,1,1,0,0,17,no
0,0,0,0,0,0,39,no
1,1,1,0.38255,0,0,272,no
0,0,0,0.27619,8,4,13,no
1,1,1,0.583333,0,0,119,no
1,1,1,0.333333,0,0,27,no
0,0,0,0.36,4,4,50,no
0,0,0,0.25,1,1,2,no
0,0,0,0,2,2,15,no
0,0,0,0.280565,0,0,13.412039,yes
0,0,0,0.206897,0,0,17,yes
0.742116,0.665779,2.476692,0.422011,0,0,13.143336,yes
0.5,0,1,0.266667,6,3,4,no
1,1,1,1,2,2,13,no
0.5,0,1,0.418912,0,0,207,no
0.5,0,1,0.166667,0,0,16,no
0,0,0,0.571429,0,0,307,no
1,1,1,0.5,5,5,14,no
1,1,1,0.73913,0,0,40,no
1,1,1,0.290323,0,0,47,no
0,0,0,0.235294,0,0,4,no
0,0,0,0.111111,0,0,1,no
0.477086,0,0.931113,0.265365,6.699341,3.253586,8.401461,yes
0,0,0,0.189667,2,2,1,yes
0,0,0,0.666667,3,3,45,yes
1,1,1,0.746365,0.096339,0.383149,4,yes
0,0,0,0.338235,0,0,254,no
0.333333,0,1,0.242079,6,2,95,no
1,1,1,1,0,0,186,no
1,1,1,1,0,0,24,no
1,1,1,0.666667,0,0,17,no
0,0,0,0,4,4,9,no
1,1,2,0.485294,0,0,46,no
1,1,1,1,0,0,9,no
1,1,1,0.857143,0,0,217,no
0,0,0,0.030314,2.587154,2.936902,3,yes
0.165834,0,0.295473,0.279869,13.086923,2.231009,62.37248,yes
0,0,0,0.31328,2.657213,3.583016,23.830352,yes
0,0,0,0.083722,9,3,5,no
0.333333,0,1,0.611111,0,0,21,no
0.2,0,1,0.338973,0,0,350,no
0.333333,0,1,0.066667,0,0,23,no
1,1,1,0.8,0,0,89,no
0.169256,0,0.726267,0.460549,3,2.746642,13,yes
1,1,1,1,4,4,9,no
0.00504,0,0.78519,0.436477,27.072795,4.134786,126.329846,yes
1,1,2,0.824242,0,0,95,no
1,1,1,0.678571,0,0,99,no
0.202602,0,0.667905,0.383466,8.338638,3.057766,208.36286,yes
0.371331,0,0.996044,0.331143,3,2.676274,13,yes
1,1,1,1,0,0,35,no
0.6,0,3,0.565581,0,0,135,no
0.5,0,1,0.733193,0,0,141,no
0.25,0,1,0.379171,4,1,40,yes
1,1,1,0.714286,0,0,23,no
0,0,0,0.703704,0,0,42,no
0.333333,0,1,0.641667,0,0,150,no
0,0,0,0,0,0,0,no
0.333333,0,1,0.43165,0,0,151,no
1,1,1,1,0,0,33,no
